"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Arc",2.37354965100091e-65,0.5738384441248,1,1,4.1924007485629e-61
"AC149090.1",1.42866751972357e-55,0.544607744614762,1,1,2.52345544008774e-51
"Junb",8.74184738695483e-40,0.509874419878589,1,1,1.54407250395783e-35
"Mid1",1.66937795576054e-37,0.394971878700238,1,1,2.94862228325985e-33
"Egr1",4.99356311656567e-31,0.369810520777258,1,1,8.82013053278994e-27
"Fos",4.00311820533278e-28,0.340879036345786,1,1,7.07070768607928e-24
"Npas4",5.45011674046528e-24,0.325939989367705,1,1,9.62654119868383e-20
"Btg2",3.13341063836642e-20,0.284252100199895,1,1,5.53454321054661e-16
"mt-Co1",6.67362724735238e-17,-0.262024765053554,1,1,1.17876278069985e-12
"Gapdh",5.28382944886013e-16,-0.266685915860014,1,1,9.33282795552166e-12
"Chn1",4.06145397718261e-15,-0.250501242846641,1,1,7.17374615989765e-11
"Gm47283",5.78228536419967e-15,0.240682836972631,1,1,1.02132506387859e-10
"Ctxn1",9.70843737732203e-15,-0.22350208134123,1,1,1.71480129395639e-10
"Fth1",3.3065972913087e-13,-0.227738269335605,1,1,5.84044279563856e-09
"Opcml",3.77133514704766e-13,-0.254009487108205,1,1,6.66130927023028e-09
"Malat1",2.26219938686964e-12,-0.241797399850631,1,1,3.99572277702784e-08
"Hecw2",7.16623149665182e-12,-0.207949571424244,1,1,1.26577146925361e-07
"Baiap2",9.44096787379502e-12,-0.19030680208207,1,1,1.66755815554841e-07
"Calm1",1.0452526790901e-11,-0.222717740807157,1,1,1.84622980707684e-07
"Csmd1",1.79686757243255e-11,-0.213674920034426,1,1,3.17380719318762e-07
"Dusp6",3.4561358509384e-11,0.201650230859134,1,1,6.10457275351249e-07
"Dlg2",6.33933408336588e-11,-0.199395751668226,1,1,1.11971657914492e-06
"Arhgef9",8.47630222549004e-11,-0.183639967422948,1,1,1.49716926208831e-06
"Nr4a1",1.12070960032503e-10,0.195398939905422,1,1,1.97950936705411e-06
"H3f3b",1.53191349091811e-10,-0.192681859386602,1,1,2.70581879900867e-06
"Calm2",4.94532294636446e-10,-0.190822825375911,1,1,8.73492392016354e-06
"Selenow",9.56371808778726e-10,-0.18093017558663,1,1,1.68923952584586e-05
"Dusp1",1.96439968735347e-09,0.185623888262717,1,1,3.46971916777244e-05
"Prkcg",2.12929197622279e-09,-0.182382855366344,1,1,3.76096841760231e-05
"Rgs6",2.71818232424306e-09,-0.177642256813029,1,1,4.80112543931051e-05
"Erc2",5.09184484230691e-09,-0.171822532787211,1,1,8.9937255449667e-05
"Cacng3",5.25348100542377e-09,-0.177030138004297,1,1,9.27922349988e-05
"Eno1",5.83731738662419e-09,-0.17471786073518,1,1,0.000103104536999943
"Plcb1",6.19407618620025e-09,-0.175996335964863,1,1,0.000109405967676855
"Dlgap2",1.07085563018863e-08,-0.176095918970311,1,1,0.000189145229960218
"Nrgn",1.15008677591463e-08,-0.191860546844512,1,1,0.0002031398272298
"Ntm",1.66971522777059e-08,-0.174168518128073,1,1,0.000294921800681119
"Pdlim7",1.74794921847476e-08,-0.161603061128002,1,1,0.000308740270459196
"Numb",2.15611299017564e-08,-0.162172003622731,1,1,0.000380834237454723
"Sv2b",2.54411987204953e-08,-0.159444251253043,1,1,0.000449367893000108
"Rtn4",2.69615987197527e-08,-0.159254851605089,1,1,0.000476222718186992
"Cadm2",4.55272400610194e-08,-0.176452093191446,1,1,0.000804147641197786
"Rbm39",4.71134948312706e-08,-0.153799286390581,1,1,0.000832165659204732
"Cox8a",5.19679935182838e-08,-0.160563795696169,1,1,0.000917910669513447
"Il1rapl1",5.37905996140342e-08,-0.152562996704608,1,1,0.000950103360982686
"Camk2n1",5.49523291063786e-08,-0.18261953777504,1,1,0.000970622989005966
"Luc7l2",6.82025281483029e-08,-0.153224916487685,1,1,0.00120466125468347
"Ywhaz",8.80964181214792e-08,-0.153141272677514,1,1,0.00155604703327969
"Frmd4a",9.52170579242771e-08,-0.156813819085253,1,1,0.00168181889411651
"Mdh1",1.10061980620875e-07,-0.161966527681694,1,1,0.00194402476370651
"Ubb",1.26117676455501e-07,-0.159927767196982,1,1,0.00222761651923352
"Rasgrp1",1.52331210743082e-07,-0.153978692601207,1,1,0.00269062617535506
"Mical2",1.75620417168553e-07,-0.153857343178025,1,1,0.00310198342844815
"Ptprk",2.03205752595571e-07,-0.158759629467864,1,1,0.00358922320809557
"Ywhah",2.12224522055589e-07,-0.152304030355115,1,1,0.00374852173306788
"Anks1b",2.75298058486889e-07,-0.145692687408549,1,1,0.00486258960705393
"Tmem191c",3.34496020170673e-07,-0.146976418997095,1,1,0.0059082032042746
"Dgkb",4.73508989536808e-07,-0.150661033512588,1,1,0.00836358928218863
"Mast3",4.76171746042877e-07,-0.150645884743253,1,1,0.00841062155035533
"9530059O14Rik",5.03225621039209e-07,-0.165911941343275,1,1,0.00888847414441554
"Aldoa",5.40856798981462e-07,-0.150899029148142,1,1,0.00955315364040957
"Grin2b",6.40719064857707e-07,-0.162579640067138,1,1,0.0113170208425817
"Schip1",7.02678652056616e-07,-0.147201900234122,1,1,0.012411413031276
"Prkca",8.11666935096641e-07,-0.144728330398283,1,1,0.014336473074612
"Lingo2",8.30837028335253e-07,-0.159391196791645,1,1,0.0146750744314856
"1110008P14Rik",8.67697155759243e-07,-0.148268812168503,1,1,0.0153261348621755
"Nptxr",9.99113318267487e-07,-0.150357799237566,1,1,0.0176473385405586
"Fam19a1",1.66228236902036e-06,-0.172693456592536,1,1,0.0293608934840066
"Gm27032",1.84651462729008e-06,-0.136300952588822,1,1,0.0326149878618247
"Gpm6a",2.37202805077292e-06,-0.14799084151048,1,1,0.041897131460802
"Rbfox1",2.60240401071453e-06,-0.137927943443767,1,1,0.0459662620412508
"Hivep2",2.63413495201898e-06,-0.141919964658656,1,1,0.0465267256575112
"Atp6v0a1",2.74930672434749e-06,-0.127839909587138,1,1,0.0485610046721497
