,gene,L2_3_IT_M_P30_CORT,L4_M_P30_CORT,L5_M_P30_CORT,L6_M_P30_CORT,Lamp5_M_P30_CORT,Non_neuronal_M_P30_CORT,Oligo_M_P30_CORT,Pvalb_M_P30_CORT,Sst_M_P30_CORT,Vip_M_P30_CORT
0,AC149090.1,-1.5565801176261203,-1.4612820587277902,-1.48432992337606,-1.32181006810813,-1.65335160549773,-0.9455435078135171,-0.7278169496665708,-0.931347508768425,-1.08223358040707,-1.89509689581168
1,Arc,-1.2225967587905502,-1.5812374471179,-1.26129066534426,-1.17188239510178,-0.47613391393909,-0.152115870903934,-0.16357288637187303,-0.248094109156441,-0.275857307343626,-0.338981515842774
2,Mid1,-1.13786170035867,-0.969207766312371,-1.07434662293999,-0.90141495975268,-0.8675295291341161,-0.607981843243112,-0.23283931959590803,-0.818603936413818,-0.7398963119013171,-0.678856756910519
3,Junb,-0.9206893773867909,-1.0986418394673598,-0.8112587029168921,-0.7939721191800341,-0.203494215191476,0.0276495954598614,-0.0231376916082243,-0.15513746694608302,-0.26842663640833603,-0.524574146441187
4,Egr1,-0.84418041651151,-0.8193037224428129,-0.910244061208158,-0.7149065175723459,-0.691297062160303,0.0329752753446926,0.00535386114244124,-0.151259594512241,-0.197689419253393,-0.672740597803213
5,Fos,-0.723249923463292,-0.7910654070597171,-0.657365238308445,-0.49062614348242106,-0.297884461678835,-0.09812341511417501,-0.0368400466230805,-0.162699748670159,-0.21947748609295997,-0.550434710267874
6,Gm47283,-0.634563271666801,-0.5800441956779251,-0.5913707037244991,-0.7127076495540251,-0.718172071861389,-0.26174787610702305,-0.41571121379294895,-0.40878424664318896,-0.41695521687634207,-0.461389874854207
7,Btg2,-0.5965900542603729,-0.6719026358809039,-0.458924459448089,-0.579593617921356,-0.0939906377474648,-0.30918802693360603,-0.0443996094689834,-0.13180970300965303,-0.24014689105782397,-0.24986472249265898
8,Npas4,-0.587230654291953,-0.59998970781589,-0.38674850450680204,-0.44195324138668796,-0.0709674461417758,-0.129619385117313,-0.0331592376656381,-0.0463934915196462,-0.12792852446904499,-0.235004836406936
9,Dusp6,-0.506761572459266,-0.369709996933511,-0.37320357867357895,-0.26809809904325305,-0.10128820350723701,0.0256165817994952,0.0779318343206186,0.0385116116034667,-0.123832987662038,-0.12707468452469198
10,Ptprk,0.24133898957545602,0.644869029541921,0.48769084139728397,0.127337201030162,0.0367024895908211,0.10561552968731801,0.0456139935608312,-0.0173477402619112,0.0343213463247839,-0.0454541282280712
11,Dusp1,-0.438651243827612,-0.6304607840562321,-0.557417896380937,-0.40181335084085906,-0.391141685911173,-0.10244438661465699,-0.0120858468322948,-0.16058029019930803,-0.23461323317830998,-0.230217119070125
12,Camk2d,-0.39576966633565,-0.601537040227155,-0.312400824418297,0.0231003896744777,0.00371025538657099,-0.254794755323824,-0.0275557937092737,-0.44429862730912106,-0.100119128605164,-0.0715968272159395
13,Nfib,-0.284927696817289,-0.196612713555585,-0.52285895692525,-0.152307398496927,0.272696061042065,0.10937837857065,-0.0796670404840333,-0.141739972828282,-0.033858560411401,-0.0382079233447222
14,Nr4a1,-0.49904107873622,-0.516093023438498,-0.461997405085776,-0.411080715004513,-0.124383886541572,0.0416446484309203,-0.0406156990594394,-0.0458926964065598,-0.115882643059047,-0.22798797889705
15,Pcdh9,-0.365356570217346,-0.069577232483462,-0.25730710850519,-0.0804080078602523,-0.7464062078664051,0.403262186098275,-0.577870300373857,-0.45251566413684896,-0.280709339589076,-0.20452591278274498
16,Phip,-0.16907773001543802,-0.138985166791169,-0.134068517563268,-0.111353632298517,-0.671985502800928,-0.276890476285411,-0.399851331489372,-0.0279139508646951,-0.0195976540934482,-0.13034421385129402
17,Prr14,-0.0159641015843208,-0.0126839819351235,-0.0219568259433346,0.0104253652630984,-0.283659814143266,-0.15026687023864801,-0.07329131263629801,-0.0078107758351591,-0.0791695314941439,-0.0692265538944319
18,Gpr83,0.00927272722708133,-0.0702972848531172,-0.053343867082102,-0.0241500234101374,-0.270782702262543,-0.016691392745906,0.0457746615776578,-0.0144073017610646,-0.264884720140883,-0.0552765361526622
19,Zfp335os,-0.0034895970858907803,-0.0694244273133418,-0.0119849880174022,0.0290415969291456,0.23355826040421698,0.12987874781122,-0.0396783671082759,0.0482708248792671,0.023310430958792004,-0.0972144985078224
20,Gas7,-0.0162070039481728,-0.0183383699047684,0.0496900912776882,-0.0020396490654857,0.0296689799014729,0.556659823886013,-0.0269314807096317,0.009038534754674421,0.119700432788377,-0.00629081946665078
21,Rab26,0.18615398610800402,0.34382724973886497,0.21196151286362303,0.16293842707231,0.100078620971283,0.42825321864160404,0.00329792031828715,0.0318628206931786,0.0494295435832889,0.0928502454791638
22,Adgrl2,-0.0380200482313034,0.0352450964050974,0.00212400983619199,-0.0064906300519223,-0.155100103672783,0.0797702492574183,-0.0515982443753377,-0.739719413499198,-0.40675212282687395,-0.163207592752695
23,Auts2,-0.312397688451766,-0.24513563022964702,-0.134022835536623,-0.335292861968711,-0.340705123484213,-0.12837229517783,-0.6335777853225811,-0.534855977303677,-0.528566434135646,-0.24867674960074898
24,Cacnb2,-0.227676354245528,-0.262673845197239,-0.124877309774554,-0.139188831686188,0.0891765464294135,0.15657096271123097,-0.00915535606195049,-0.45786867372502094,-0.239831331652598,0.0616562686957547
25,Pgp,0.0576688158051143,0.146990565013051,-8.96298301068521e-05,0.0385007179175786,0.173866823839923,0.139390957819793,0.08787635522375702,0.331482755187411,-0.021975226463806,-0.019242159511666
26,Pls3,0.0375698908593549,0.08738362717021801,0.053369956634873005,0.014768218883628,0.0599811582735816,0.0854143146047698,-0.00258086063169022,0.25197777848645697,0.0440916082751329,-0.137047255513278
27,Taf9,0.0188531185460949,0.0380072907660071,0.001292935007828,0.0134263751192055,0.0998614974873684,-0.0304068018645976,-0.000443705500256228,0.174314579200034,0.0721343803682678,0.0134368904753289
28,Lrrc3b,0.0512484075860897,0.00274991786087293,0.0542405198895572,-0.00670518052517705,0.0826813106291315,0.00879016982410415,-0.00792699668007824,0.126027085261279,-0.0393138432131897,0.0944703915849849
29,Tenm2,-0.385327435737556,-0.35186289477288896,-0.251615619778131,-0.19994266234029698,-0.34655440358253004,-0.14344287951200102,0.0164352029569095,-0.10020429567977801,-0.5561930641949151,-0.50360184439463
30,Frmd4b,0.0039294960137462,-0.059490951077852995,-0.0346920669985307,0.0140016942197981,-0.0333520135787058,-0.045679069252203,-0.13474694846725502,-0.128074822095576,-0.507697558477994,0.0123998558385187
31,Grid2,-0.0276345533407835,-0.181349818917628,-0.0459231994104323,-0.214139491329823,-0.0196886825938252,0.0424972118577578,-0.0610589004403105,-0.054201411921467,-0.47453286920616605,-0.0693275230345575
32,Msi2,-0.0140982396653627,-0.0173247163160818,-0.104559759747897,-0.0358629716854697,-0.183502629551786,-0.10886758817038,-0.0845127830960248,-0.22394441996893105,-0.43830623683309994,-0.38413234315493605
33,Epb41,-0.12229644199306401,-0.20544392109834803,-0.0989109264560494,-0.0382231077766905,-0.505023730388363,0.11103701953679598,-0.0329788794039691,-0.42457359147597,-0.43244507597417203,-0.186401229353258
34,Zbtb4,-0.10174308064075399,-0.154844006805304,-0.13059555018163002,-0.0842819751716354,-0.0621541715509686,-0.135412619639855,-0.0785425807633372,-0.212507768982576,-0.414141149999747,-0.12441310805649002
35,Epha5,-0.23287191531146803,-0.43351047110027296,-0.304435445091422,-0.24649221080120298,-0.371867929199841,0.41807317630617,-0.0222242211190752,-0.34907222809631494,-0.264588326109187,-0.785654411387166
36,Plk2,-0.29439726181924497,-0.0771824070452052,-0.31603792179253104,-0.20222294124283702,-0.25028384164747497,-0.0897981062559684,0.0965452523299356,-0.0605991705274221,-0.20191043580257997,-0.59149775173813
37,Dicer1,-0.165281776252766,0.0817958860199792,-0.111250513040004,0.0325812387879427,-0.28407281728170897,0.0583275232702889,-0.225428220621939,-0.016910632815670002,-0.203212706764995,-0.581663234570361
38,Coro6,-0.180477011807525,-0.22475821317205702,-0.34044749102323396,-0.108611294888883,-0.12823496940919998,0.126344866245692,0.0140300866553747,-0.254513701945463,-0.290646358197852,-0.5574121052711429
