Sample,Genotype ,Sex,Age,Astro,Endo,L2_3_IT,L4,L5,L6,Lamp5,Non-neuronal,Oligo,Peri,Pvalb,Sncg,Sst,Vip
MUT_F_E18_WB1,MUT,Female,E18,289,0,388,479,1105,874,251,92,51,4,155,13,260,126
MUT_F_E18_WB2,MUT,Female,E18,244,1,375,623,859,579,200,119,55,4,136,16,256,113
MUT_F_P150_CORT1,MUT,Female,P150,18,0,439,74,478,390,224,22,4,0,99,28,252,57
MUT_F_P150_CORT2,MUT,Female,P150,39,0,751,197,527,531,135,19,77,1,193,38,231,82
MUT_F_P150_CORT3,MUT,Female,P150,43,0,779,271,633,593,86,103,57,0,197,16,181,139
MUT_F_P150_CORT4,MUT,Female,P150,35,1,879,158,547,258,235,19,93,0,269,41,520,168
MUT_F_P30_CORT1,MUT,Female,P30,29,0,469,160,333,392,54,53,213,1,155,13,139,79
MUT_F_P30_CORT2,MUT,Female,P30,23,0,347,157,292,352,44,172,285,0,124,12,111,80
MUT_F_P60_CORT1,MUT,Female,P60,7,0,372,44,424,512,300,10,14,0,88,25,179,52
MUT_F_P60_CORT2,MUT,Female,P60,42,0,587,279,641,621,96,64,273,0,165,16,195,106
MUT_M_E18_WB1,MUT,Male,E18,275,41,910,368,2885,1432,636,137,85,19,565,177,1103,549
MUT_M_E18_WB2,MUT,Male,E18,357,78,1259,556,4641,2446,961,175,171,38,788,141,1659,900
MUT_M_P120_CORT1,MUT,Male,P120,110,23,523,246,712,887,304,132,112,45,470,61,420,377
MUT_M_P120_CORT2,MUT,Male,P120,133,26,755,313,854,1468,427,419,253,88,555,68,635,427
MUT_M_P30_CORT1,MUT,Male,P30,65,8,546,166,717,767,214,131,167,4,224,42,290,243
MUT_M_P30_CORT2,MUT,Male,P30,75,5,458,223,511,666,123,228,222,13,205,19,184,133
MUT_M_P60_CORT1,MUT,Male,P60,142,13,1044,644,1092,1096,331,273,327,44,443,84,429,327
MUT_M_P60_CORT2,MUT,Male,P60,52,14,554,259,722,628,163,228,363,53,213,93,241,238
WT_F_E18_WB1,WT,Female,E18,308,0,395,717,1100,716,152,115,60,5,175,6,205,98
WT_F_E18_WB2,WT,Female,E18,305,1,313,574,631,568,205,146,62,5,119,9,140,87
WT_F_P150_CORT1,WT,Female,P150,30,0,480,137,577,429,74,56,40,0,156,21,256,107
WT_F_P150_CORT2,WT,Female,P150,23,0,719,229,343,429,161,22,40,0,188,20,268,109
WT_F_P150_CORT3,WT,Female,P150,65,0,539,173,682,494,97,67,174,2,187,22,190,104
WT_F_P150_CORT4,WT,Female,P150,4,0,645,53,1007,647,188,37,7,0,227,55,350,114
WT_F_P30_CORT1,WT,Female,P30,16,0,946,356,791,875,100,102,148,0,288,17,226,143
WT_F_P30_CORT2,WT,Female,P30,43,0,660,348,645,968,119,216,267,1,291,21,254,124
WT_F_P60_CORT1,WT,Female,P60,9,0,472,239,458,370,60,81,101,0,177,8,187,115
WT_F_P60_CORT2,WT,Female,P60,19,0,476,44,540,410,153,9,90,0,124,32,275,106
WT_M_E18_WB1,WT,Male,E18,254,20,376,301,1315,474,344,97,80,24,347,101,458,420
WT_M_E18_WB2,WT,Male,E18,275,26,1005,323,2934,1770,692,114,122,28,770,103,1254,586
WT_M_P120_CORT1,WT,Male,P120,58,13,706,216,709,935,271,323,183,59,664,48,348,230
WT_M_P120_CORT2,WT,Male,P120,106,16,482,241,759,869,371,181,199,42,466,69,405,395
WT_M_P30_CORT1,WT,Male,P30,71,4,585,187,569,742,156,109,141,6,221,26,264,157
WT_M_P30_CORT2,WT,Male,P30,82,6,578,263,503,681,142,174,250,7,198,30,232,185
WT_M_P60_CORT1,WT,Male,P60,93,14,544,248,591,658,149,210,247,43,181,41,224,136
WT_M_P60_CORT2,WT,Male,P60,64,4,468,206,514,594,114,123,216,38,197,30,200,124