,gene,celltype,logfc,pv
0,Ttr,Astro_M_E18_WB,-1.19270269470521,2.6816603664637196e-09
1,Ttr,L2_3_IT_M_E18_WB,-1.08691900408061,3.5240817591923597e-20
2,Ttr,L4_M_E18_WB,-1.0484031478301998,8.4537801477072e-09
3,Ttr,L5_M_E18_WB,-0.893852681107962,1.19890051302823e-46
4,Ttr,L6_M_E18_WB,-1.00489568745622,4.2037287668635496e-27
5,Ttr,Lamp5_M_E18_WB,-1.04804009586142,4.4632182842541804e-15
6,Ttr,Non_neuronal_M_E18_WB,-0.968645201864019,0.0169920454169156
7,Ttr,Oligo_M_E18_WB,-1.2380826943255199,0.0302671376188165
8,Ttr,Pvalb_M_E18_WB,-0.9366621701559259,5.1329538542232204e-11
9,Ttr,Sst_M_E18_WB,-1.07629688178025,9.77034383037888e-25
10,Ttr,Vip_M_E18_WB,-0.899552944856535,5.142971388835679e-10
11,Ptn,Astro_M_E18_WB,0.9926073178113609,0.000116531995542074
12,Ptn,L2_3_IT_M_E18_WB,0.368254482647544,0.0281214511819543
13,Ptn,L4_M_E18_WB,0.263887521487349,0.40686553097584904
14,Ptn,L5_M_E18_WB,0.34203414155653306,5.87524791657789e-06
15,Ptn,L6_M_E18_WB,0.26354747637052695,0.117106663493
16,Ptn,Lamp5_M_E18_WB,0.41690787139287705,0.029409559866196002
17,Ptn,Non_neuronal_M_E18_WB,0.314006315509415,0.741537967881013
18,Ptn,Oligo_M_E18_WB,0.20610034162270396,0.8799698447510029
19,Ptn,Pvalb_M_E18_WB,0.621590601026505,0.0010241007376115801
20,Ptn,Sst_M_E18_WB,0.387646466994552,0.017654559084718
21,Ptn,Vip_M_E18_WB,0.23120935219560002,0.463275925361094
22,Ptprz1,Astro_M_E18_WB,0.8515156121101,0.0162697549303142
23,Ptprz1,L2_3_IT_M_E18_WB,0.17687437416460502,0.355099798913998
24,Ptprz1,L4_M_E18_WB,0.17274170318746998,0.6075387191334201
25,Ptprz1,L5_M_E18_WB,0.0348366850486013,0.8277229927194292
26,Ptprz1,L6_M_E18_WB,0.138253457868203,0.556129228258602
27,Ptprz1,Lamp5_M_E18_WB,0.274118596791986,0.171661461327761
28,Ptprz1,Non_neuronal_M_E18_WB,-0.11743068480862699,0.900596405622827
29,Ptprz1,Oligo_M_E18_WB,0.277063206515712,0.870034259357874
30,Ptprz1,Pvalb_M_E18_WB,0.0338474565947549,0.944854436367673
31,Ptprz1,Sst_M_E18_WB,-0.0352683269634303,0.9138834880924749
32,Ptprz1,Vip_M_E18_WB,-0.171511723900056,0.569695961382021
33,Luzp2,Astro_M_E18_WB,0.8241806397152,9.64049177788363e-07
34,Luzp2,L2_3_IT_M_E18_WB,0.338672624164192,3.1334446675156103e-07
35,Luzp2,L4_M_E18_WB,0.296363079339944,0.0137286881258173
36,Luzp2,L5_M_E18_WB,0.2563902725293,2.83418801650659e-17
37,Luzp2,L6_M_E18_WB,0.330038286104096,6.270309642478679e-12
38,Luzp2,Lamp5_M_E18_WB,0.32809925278364005,0.000136545711096623
39,Luzp2,Non_neuronal_M_E18_WB,0.598847582960316,0.18769529845695498
40,Luzp2,Oligo_M_E18_WB,0.363139421926367,0.767149934169894
41,Luzp2,Pvalb_M_E18_WB,0.20585388844598604,0.0386850602544274
42,Luzp2,Sst_M_E18_WB,0.19547942338832502,0.00977254557590841
43,Luzp2,Vip_M_E18_WB,0.238343183073479,0.0129022236043945
44,Rps27a,Astro_M_E18_WB,-0.8149332320047701,0.00291789693381798
45,Rps27a,L2_3_IT_M_E18_WB,-0.592558008760685,8.845963361464499e-05
46,Rps27a,L4_M_E18_WB,-0.534407619277229,0.0299327802731052
47,Rps27a,L5_M_E18_WB,-0.42757748946362606,1.4297996181500602e-08
48,Rps27a,L6_M_E18_WB,-0.597352508282703,4.2046252078175003e-07
49,Rps27a,Lamp5_M_E18_WB,-0.37928977392896995,0.0795423059691849
50,Rps27a,Non_neuronal_M_E18_WB,-0.39398957132193296,0.6954054575530509
51,Rps27a,Oligo_M_E18_WB,0.150626947934439,0.91198215948579
52,Rps27a,Pvalb_M_E18_WB,-0.32066424829892104,0.36899563434592797
53,Rps27a,Sst_M_E18_WB,-0.32712054292473497,0.112514963759268
54,Rps27a,Vip_M_E18_WB,-0.45224082458243103,0.0444246571786026
55,Aqp4,Astro_M_E18_WB,0.7741887172271421,1.5870261179911199e-07
56,Aqp4,L2_3_IT_M_E18_WB,0.0166673709601863,0.0512562160010524
57,Aqp4,L4_M_E18_WB,0.009975158138796441,0.7167912928175829
58,Aqp4,L5_M_E18_WB,0.00216028503175556,0.307985195283258
59,Aqp4,L6_M_E18_WB,0.0103630567387471,0.44219972462054796
60,Aqp4,Lamp5_M_E18_WB,0.0197001300392336,0.249385291504261
61,Aqp4,Non_neuronal_M_E18_WB,0.0,1.0
62,Aqp4,Oligo_M_E18_WB,0.0205514217735852,0.905331085199823
63,Aqp4,Pvalb_M_E18_WB,-0.00208135994617584,0.972447247084682
64,Aqp4,Sst_M_E18_WB,0.0233387595298959,0.0340301883129438
65,Aqp4,Vip_M_E18_WB,0.0212771685692256,0.362931482524465
66,Igfbpl1,Astro_M_E18_WB,-0.7703041744044571,0.00283219740870082
67,Igfbpl1,L2_3_IT_M_E18_WB,-0.4901162163265301,0.000605251930696649
68,Igfbpl1,L4_M_E18_WB,-0.644929410593002,0.00134123048273854
69,Igfbpl1,L5_M_E18_WB,-0.684879684847893,8.10229818396713e-29
70,Igfbpl1,L6_M_E18_WB,-0.48353660793734105,1.5256378433771801e-05
71,Igfbpl1,Lamp5_M_E18_WB,-0.578754028025695,0.000169595006292379
72,Igfbpl1,Non_neuronal_M_E18_WB,-0.7695526945454509,0.263018766313218
73,Igfbpl1,Oligo_M_E18_WB,-0.530677530169127,0.767149934169894
74,Igfbpl1,Pvalb_M_E18_WB,-0.597172754625089,0.000386874543422426
75,Igfbpl1,Sst_M_E18_WB,-0.650543957381496,1.71706698125798e-08
76,Igfbpl1,Vip_M_E18_WB,-0.8447002336601791,3.4374935038714602e-09
77,Hbb-bt,Astro_M_E18_WB,-0.766530252478301,0.00917761651543988
78,Hbb-bt,L2_3_IT_M_E18_WB,-0.6424927149562271,8.083869564553e-06
79,Hbb-bt,L4_M_E18_WB,-0.775781296448365,0.000328714720345962
80,Hbb-bt,L5_M_E18_WB,-0.7954194955726999,7.393503411217049e-32
81,Hbb-bt,L6_M_E18_WB,-0.734272267433245,1.66315680018483e-11
82,Hbb-bt,Lamp5_M_E18_WB,-0.7891955399007021,1.20360511371709e-06
83,Hbb-bt,Non_neuronal_M_E18_WB,-0.615913728681286,0.39654327536118106
84,Hbb-bt,Oligo_M_E18_WB,-0.27112084689157,0.865563635659813
85,Hbb-bt,Pvalb_M_E18_WB,-0.7642289243441149,3.6688588779125205e-05
86,Hbb-bt,Sst_M_E18_WB,-0.7938774174830909,1.5467985286388098e-10
87,Hbb-bt,Vip_M_E18_WB,-0.988955802343249,5.142971388835679e-10
88,Apoe,Astro_M_E18_WB,0.7611626742208559,0.000819696248193555
89,Apoe,L2_3_IT_M_E18_WB,0.422217091888101,3.25169623119175e-07
90,Apoe,L4_M_E18_WB,0.20679017844970896,0.278301528005313
91,Apoe,L5_M_E18_WB,0.22533026268246803,1.05791200614081e-06
92,Apoe,L6_M_E18_WB,0.33785094252249503,2.99272942276986e-06
93,Apoe,Lamp5_M_E18_WB,0.392643324858666,0.000160988210826193
94,Apoe,Non_neuronal_M_E18_WB,0.271178818180297,0.726806980935755
95,Apoe,Oligo_M_E18_WB,0.25864012614654397,0.767149934169894
96,Apoe,Pvalb_M_E18_WB,0.233353061508185,0.19121014768846697
97,Apoe,Sst_M_E18_WB,0.291074063256286,0.00127265237494081
98,Apoe,Vip_M_E18_WB,0.0664787593146135,0.7650682000704839
99,Sparcl1,Astro_M_E18_WB,0.706159153315259,0.00013416110358898702
100,Sparcl1,L2_3_IT_M_E18_WB,0.250842549439374,0.00242127372214528
101,Sparcl1,L4_M_E18_WB,0.154215488997547,0.346471962530045
102,Sparcl1,L5_M_E18_WB,0.29461552750520503,1.1869450859182002e-15
103,Sparcl1,L6_M_E18_WB,0.319311034405229,2.33675488505087e-07
104,Sparcl1,Lamp5_M_E18_WB,0.24205567330956101,0.0164183565018383
105,Sparcl1,Non_neuronal_M_E18_WB,0.136081074189041,0.7665421123825219
106,Sparcl1,Oligo_M_E18_WB,0.504514639292711,0.767149934169894
107,Sparcl1,Pvalb_M_E18_WB,0.20307652248573496,0.20302822581445898
108,Sparcl1,Sst_M_E18_WB,0.188978372686474,0.0405670213052375
109,Sparcl1,Vip_M_E18_WB,0.25212085529432005,0.0288896204011988
110,Malat1,Astro_M_E18_WB,0.741577298473604,0.258944187388825
111,Malat1,L2_3_IT_M_E18_WB,0.982968908196882,1.86593618052268e-08
112,Malat1,L4_M_E18_WB,1.0981112539120799,0.00025115486889082205
113,Malat1,L5_M_E18_WB,0.620541450006119,1.90722217454522e-13
114,Malat1,L6_M_E18_WB,0.7669784757654649,1.85899467726296e-07
115,Malat1,Lamp5_M_E18_WB,1.1203124800393998,4.82665220075774e-08
116,Malat1,Non_neuronal_M_E18_WB,0.8014026856152099,0.505110606376986
117,Malat1,Oligo_M_E18_WB,0.8264161461838009,0.767149934169894
118,Malat1,Pvalb_M_E18_WB,0.41599555143938505,0.32363354568547
119,Malat1,Sst_M_E18_WB,0.35721975959121294,0.166795123865871
120,Malat1,Vip_M_E18_WB,0.693684624595827,0.00574602646293889
121,Ptma,Astro_M_E18_WB,-0.554094630458727,0.108610959750885
122,Ptma,L2_3_IT_M_E18_WB,-0.6794532165369189,1.07830485080025e-08
123,Ptma,L4_M_E18_WB,-0.741141916899198,0.000117809007765683
124,Ptma,L5_M_E18_WB,-0.5772042715728499,1.39104258361103e-22
125,Ptma,L6_M_E18_WB,-0.576721755735889,1.5260183829734698e-09
126,Ptma,Lamp5_M_E18_WB,-0.621199008216764,3.4113784710559495e-05
127,Ptma,Non_neuronal_M_E18_WB,-0.5495134705293521,0.36543176142237604
128,Ptma,Oligo_M_E18_WB,-0.5143601332127921,0.767149934169894
129,Ptma,Pvalb_M_E18_WB,-0.47329760701170603,0.00900435534247598
130,Ptma,Sst_M_E18_WB,-0.550915948111998,2.75732453709824e-07
131,Ptma,Vip_M_E18_WB,-0.430692018038918,0.0215544739573758
132,H3f3b,Astro_M_E18_WB,-0.579473263068207,0.128076660393827
133,H3f3b,L2_3_IT_M_E18_WB,-0.657871853948207,1.85979377753281e-06
134,H3f3b,L4_M_E18_WB,-0.34450924155825197,0.19334138388641298
135,H3f3b,L5_M_E18_WB,-0.534370000793617,6.43348520835668e-15
136,H3f3b,L6_M_E18_WB,-0.369412028689048,0.00613139701695913
137,H3f3b,Lamp5_M_E18_WB,-0.5743743303621589,0.000602573049558401
138,H3f3b,Non_neuronal_M_E18_WB,-0.8870284257867479,0.0378156866722231
139,H3f3b,Oligo_M_E18_WB,-0.430130839841452,0.767149934169894
140,H3f3b,Pvalb_M_E18_WB,-0.5711381890411821,0.00436658056933798
141,H3f3b,Sst_M_E18_WB,-0.407415323568109,0.0081162325283129
142,H3f3b,Vip_M_E18_WB,-0.591593192855381,0.00148664028517681
143,Meg3,Astro_M_E18_WB,-0.0850870885356342,0.886774006506368
144,Meg3,L2_3_IT_M_E18_WB,0.653056514597887,4.81768242369609e-06
145,Meg3,L4_M_E18_WB,1.25282953511578,2.62073302670803e-05
146,Meg3,L5_M_E18_WB,0.182422459322414,0.0063737927750947
147,Meg3,L6_M_E18_WB,0.170588407107045,0.4537763264278471
148,Meg3,Lamp5_M_E18_WB,0.7933186423464449,5.46638934003451e-06
149,Meg3,Non_neuronal_M_E18_WB,1.5271313462,0.0622049409614146
150,Meg3,Oligo_M_E18_WB,0.0764610133915514,0.9606100751544009
151,Meg3,Pvalb_M_E18_WB,0.37973228073435605,0.207340327148501
152,Meg3,Sst_M_E18_WB,0.131680973225998,0.678564612688744
153,Meg3,Vip_M_E18_WB,0.637694113663655,0.0006147825698113719
154,Ptgds,Astro_M_E18_WB,-0.367301789962282,0.26566950654477695
155,Ptgds,L2_3_IT_M_E18_WB,-0.638618362967958,7.72836489456892e-11
156,Ptgds,L4_M_E18_WB,-0.392004262710714,0.0218759107817252
157,Ptgds,L5_M_E18_WB,-0.417021646891964,4.458134876443049e-16
158,Ptgds,L6_M_E18_WB,-0.511073418756708,4.1717660636894697e-10
159,Ptgds,Lamp5_M_E18_WB,-0.545616496594127,6.11054846601769e-06
160,Ptgds,Non_neuronal_M_E18_WB,-0.505837346370035,0.39509784339185705
161,Ptgds,Oligo_M_E18_WB,-0.6027546217618729,0.767149934169894
162,Ptgds,Pvalb_M_E18_WB,-0.515765893031831,0.000111937904097419
163,Ptgds,Sst_M_E18_WB,-0.478906258869383,8.22933867525908e-07
164,Ptgds,Vip_M_E18_WB,-0.438346041309985,0.00165983879027961
165,Snhg11,Astro_M_E18_WB,0.0869311255723008,0.7478241519501809
166,Snhg11,L2_3_IT_M_E18_WB,0.6221728700551221,4.497008422557361e-16
167,Snhg11,L4_M_E18_WB,1.21244993139854,8.4537801477072e-09
168,Snhg11,L5_M_E18_WB,0.17382798662055898,7.52104540164752e-09
169,Snhg11,L6_M_E18_WB,0.238781873605419,9.37168328315294e-06
170,Snhg11,Lamp5_M_E18_WB,0.430559262292221,9.30444725773999e-05
171,Snhg11,Non_neuronal_M_E18_WB,1.63245658894694,0.0005714543371412099
172,Snhg11,Oligo_M_E18_WB,0.0502888021296325,0.959026212634614
173,Snhg11,Pvalb_M_E18_WB,0.4524248937218329,4.77796202248616e-05
174,Snhg11,Sst_M_E18_WB,0.31465102122035304,4.82884477268538e-08
175,Snhg11,Vip_M_E18_WB,0.5233698904361079,8.66497377041788e-06
176,Rpl19,Astro_M_E18_WB,-0.344944203788492,0.675126248063727
177,Rpl19,L2_3_IT_M_E18_WB,-0.613923128264271,1.81792229795398e-05
178,Rpl19,L4_M_E18_WB,-0.442794222634345,0.0983204778376426
179,Rpl19,L5_M_E18_WB,-0.166879147683586,0.125658692549026
180,Rpl19,L6_M_E18_WB,-0.0507503372387759,0.8695415008606509
181,Rpl19,Lamp5_M_E18_WB,-0.24862285134787002,0.337523696954183
182,Rpl19,Non_neuronal_M_E18_WB,-0.278167470556017,0.747525365099132
183,Rpl19,Oligo_M_E18_WB,-0.399196139199448,0.767149934169894
184,Rpl19,Pvalb_M_E18_WB,-0.267338472177628,0.519241744019031
185,Rpl19,Sst_M_E18_WB,-0.26422487841517395,0.258026335768258
186,Rpl19,Vip_M_E18_WB,-0.32285108728987894,0.21371329568496303
187,Meis2,Astro_M_E18_WB,-0.0804454354431468,0.905968914652553
188,Meis2,L2_3_IT_M_E18_WB,-0.6037812696181899,7.858174788744791e-06
189,Meis2,L4_M_E18_WB,0.0087699783662134,0.9823517106781
190,Meis2,L5_M_E18_WB,-0.0386545148138233,0.706521001270992
191,Meis2,L6_M_E18_WB,-0.0226543184289472,0.9369547675917691
192,Meis2,Lamp5_M_E18_WB,0.173608115568087,0.41717243079412103
193,Meis2,Non_neuronal_M_E18_WB,-0.29570483269680997,0.759159537853383
194,Meis2,Oligo_M_E18_WB,-0.5177632483679079,0.767149934169894
195,Meis2,Pvalb_M_E18_WB,-0.0294153256409296,0.945296013340943
196,Meis2,Sst_M_E18_WB,-0.247890076669453,0.143200667068206
197,Meis2,Vip_M_E18_WB,-0.15056975618288698,0.597242641889319
198,Rps7,Astro_M_E18_WB,-0.561411628900769,0.129002372730607
199,Rps7,L2_3_IT_M_E18_WB,-0.39017035920854504,0.012866872458796001
200,Rps7,L4_M_E18_WB,-0.830137899212902,1.9238686435901e-05
201,Rps7,L5_M_E18_WB,-0.354173222673359,4.89361908374463e-07
202,Rps7,L6_M_E18_WB,-0.289867418694118,0.0435941001544691
203,Rps7,Lamp5_M_E18_WB,-0.472752169168667,0.0046454361626189
204,Rps7,Non_neuronal_M_E18_WB,-0.290191151393876,0.726806980935755
205,Rps7,Oligo_M_E18_WB,-0.546547203078308,0.767149934169894
206,Rps7,Pvalb_M_E18_WB,-0.395479571398509,0.103996904818627
207,Rps7,Sst_M_E18_WB,-0.400680845724791,0.00584329784009955
208,Rps7,Vip_M_E18_WB,-0.5593615275515981,0.00112710782885779
209,Rpl29,Astro_M_E18_WB,-0.298816076242755,0.7478241519501809
210,Rpl29,L2_3_IT_M_E18_WB,-0.121220226510858,0.6983554675982779
211,Rpl29,L4_M_E18_WB,-0.818288755424885,0.000133490921502475
212,Rpl29,L5_M_E18_WB,-0.23681872134983603,0.0113201317296647
213,Rpl29,L6_M_E18_WB,-0.222725801655756,0.26673093777285395
214,Rpl29,Lamp5_M_E18_WB,-0.340007572374312,0.134461447096094
215,Rpl29,Non_neuronal_M_E18_WB,-0.4449807126542801,0.6535935960176601
216,Rpl29,Oligo_M_E18_WB,0.351230233684519,0.802713246867403
217,Rpl29,Pvalb_M_E18_WB,-0.227248298531778,0.600871528182582
218,Rpl29,Sst_M_E18_WB,-0.17969289803219896,0.5784141946320072
219,Rpl29,Vip_M_E18_WB,-0.18861351379070895,0.588498044246796
220,Rpl34,Astro_M_E18_WB,-0.382823147900095,0.613892902735227
221,Rpl34,L2_3_IT_M_E18_WB,-0.4167259789774361,0.0136369632955129
222,Rpl34,L4_M_E18_WB,-0.8129385468579909,0.000117809007765683
223,Rpl34,L5_M_E18_WB,-0.35959665071215996,4.60863766061017e-06
224,Rpl34,L6_M_E18_WB,-0.49634661960009796,5.98823141897626e-05
225,Rpl34,Lamp5_M_E18_WB,-0.28196604740918496,0.24578841260347303
226,Rpl34,Non_neuronal_M_E18_WB,-0.41926885343334,0.687873350381224
227,Rpl34,Oligo_M_E18_WB,-0.0387818140016676,0.983792780470891
228,Rpl34,Pvalb_M_E18_WB,-0.312363361940083,0.392487140126084
229,Rpl34,Sst_M_E18_WB,-0.241528770518766,0.36266543177107796
230,Rpl34,Vip_M_E18_WB,-0.34081049378843503,0.20290067290528802
231,Tmsb4x,Astro_M_E18_WB,-0.600440418251464,0.0134674580280233
232,Tmsb4x,L2_3_IT_M_E18_WB,-0.46858514484180896,5.63563711757246e-06
233,Tmsb4x,L4_M_E18_WB,-0.7427521366404329,7.127016247278819e-06
234,Tmsb4x,L5_M_E18_WB,-0.420177451567754,3.627513087598101e-18
235,Tmsb4x,L6_M_E18_WB,-0.382525379269973,1.09843112352798e-05
236,Tmsb4x,Lamp5_M_E18_WB,-0.592739828138218,6.79409271706977e-07
237,Tmsb4x,Non_neuronal_M_E18_WB,-0.41196338584013104,0.580044816690038
238,Tmsb4x,Oligo_M_E18_WB,-0.8455296965665109,0.49454193998361795
239,Tmsb4x,Pvalb_M_E18_WB,-0.36768221872319495,0.0370455846551803
240,Tmsb4x,Sst_M_E18_WB,-0.272593787992953,0.0311434328464695
241,Tmsb4x,Vip_M_E18_WB,-0.579672703355995,2.76926261913387e-07
242,Sox11,Astro_M_E18_WB,-0.681003553097095,0.00917761651543988
243,Sox11,L2_3_IT_M_E18_WB,-0.35504519613846897,0.0157848111209471
244,Sox11,L4_M_E18_WB,-0.587481255073607,0.00207448586409865
245,Sox11,L5_M_E18_WB,-0.553208578758005,2.5483926940454197e-20
246,Sox11,L6_M_E18_WB,-0.5726329249176989,1.30847260482844e-08
247,Sox11,Lamp5_M_E18_WB,-0.3874815154778571,0.0209965423452314
248,Sox11,Non_neuronal_M_E18_WB,-0.617881760818176,0.33613206989260497
249,Sox11,Oligo_M_E18_WB,-0.5123557313106589,0.767149934169894
250,Sox11,Pvalb_M_E18_WB,-0.49106251100791,0.0112157796541666
251,Sox11,Sst_M_E18_WB,-0.628172933521165,1.71706698125798e-08
252,Sox11,Vip_M_E18_WB,-0.46776063557131103,0.00900782797272605
253,Cd24a,Astro_M_E18_WB,-0.18581473015295102,0.7478241519501809
254,Cd24a,L2_3_IT_M_E18_WB,-0.534622670085195,0.000410485743317479
255,Cd24a,L4_M_E18_WB,-0.41992125877396,0.11705282518622098
256,Cd24a,L5_M_E18_WB,-0.463658124908405,1.53274254031556e-10
257,Cd24a,L6_M_E18_WB,-0.19151003651057802,0.38457967422783
258,Cd24a,Lamp5_M_E18_WB,-0.433921298836802,0.0273160592608709
